wxid,Timestamp,Text
wxid_ouapvkt62p8412,2025-09-04 06:54:45,𓀁 𓀂 𓀄 𓀅 𓀆 𓀇 𓀈啊....雨大....南京的雨下得更大𓀉 𓀊 𓀋 𓀌 𓀍...啊啊...雨大…南大学生军训的雨下得更大𓀎 𓀏 𓀐 𓀑 𓀒𓀓 𓀔 𓀕 我爱雨，雨爱我，雨从四面八方来，长长久久来（做法）（跳大神）（围炉转圈）（上香）𓀀𓀁𓀃𓀅𓀇𓀋𓀌𓀎（做法）𓀙𓀠𓀤𓀥𓀫（做法）（念咒）（旋转）（摇铃）（跳大神）（摇铃）（甩旗）（点火）（做法）（摇铃）（念咒）（祈祷）雨来......雨请来𓀁 𓀂 𓀄 𓀅 𓀆 𓀇 𓀈....魂兮归
wxid_ribvfadnmikw22,2025-09-04 08:32:50,消防演练可以买饮料[跳跳]
wxid_mugbf0fhylqf22,2025-09-04 08:33:04,刚刚你们排从我们旁边过
wxid_mugbf0fhylqf22,2025-09-04 08:33:08,我喊你你都没听到
wxid_mugbf0fhylqf22,2025-09-04 08:33:10,（哀怨）
wxid_mugbf0fhylqf22,2025-09-04 08:33:33,就数院门口，你们左拐
wxid_ribvfadnmikw22,2025-09-04 08:35:08,[发抖]
wxid_ribvfadnmikw22,2025-09-04 08:35:13,我还看了看
wxid_ribvfadnmikw22,2025-09-04 08:35:17,看会不会碰到你
wxid_mugbf0fhylqf22,2025-09-04 08:35:42,[吃瓜]罚你之后军训完和我吃饭
wxid_ribvfadnmikw22,2025-09-04 08:35:57,[OK][猪头]
wxid_mugbf0fhylqf22,2025-09-04 08:36:07,就是14号军训完之后[呲牙]
wxid_m76swlb22bn132,2025-09-04 08:37:47,绝了
wxid_m76swlb22bn132,2025-09-04 08:37:55,我们这一直有蜜蜂
wxid_m76swlb22bn132,2025-09-04 08:39:46,隔壁二连八排还在练
wxid_m76swlb22bn132,2025-09-04 08:40:00,比我们还惨
wxid_mugbf0fhylqf22,2025-09-04 08:40:12,讨厌军训👊🏻
wxid_mugbf0fhylqf22,2025-09-04 08:40:22,军训坏👊🏻
wxid_g7u000tjc91t22,2025-09-04 08:44:07,[表情包]
wxid_1vaqhsp5n5hs22,2025-09-04 08:44:20,五排逛了一圈没有位置
wxid_1vaqhsp5n5hs22,2025-09-04 08:44:30,只好回操场坐着
wxid_g7u000tjc91t22,2025-09-04 08:44:32,[表情包]
wxid_w5cck44ymfhi22,2025-09-04 08:45:38,什么时候消防演练啊
